country,country_code,governing_body,clubs,players,national_teams
Poland,POL,UEFA,49,2732,"['M', 'F']"
Portugal,POR,UEFA,47,2135,"['M', 'F']"
Puerto Rico,PUR,CONCACAF,2,210,"['M', 'F']"
Qatar,QAT,AFC,2,247,['M']
Republic of Ireland,IRL,UEFA,18,1141,"['M', 'F']"
Réunion,REU,CAF,4,151,
Romania,ROU,UEFA,56,2393,"['M', 'F']"
Russia,RUS,UEFA,53,2425,"['M', 'F']"
Rwanda,RWA,CAF,0,181,['M']
Samoa,SAM,OFC,0,117,"['M', 'F']"
San Marino,SMR,UEFA,13,148,['M']
São Tomé and Príncipe,STP,CAF,0,115,['M']
Saudi Arabia,KSA,AFC,30,1379,"['M', 'F']"
Scotland,SCO,UEFA,42,2614,"['M', 'F']"
Senegal,SEN,CAF,0,966,"['M', 'F']"
Serbia,SRB,UEFA,47,2998,"['M', 'F']"
Serbia and Montenegro,SCG,FIFA,0,2,
Seychelles,SEY,CAF,0,170,"['M', 'F']"
Sierra Leone,SLE,CAF,0,215,"['M', 'F']"
Singapore,SIN,AFC,0,223,"['M', 'F']"
Sint Maarten,SMA,CONCACAF,0,5,
Slovakia,SVK,UEFA,21,861,"['M', 'F']"
Slovenia,SVN,UEFA,16,609,"['M', 'F']"
Solomon Islands,SOL,OFC,0,111,"['M', 'F']"
Somalia,SOM,CAF,0,112,['M']
South Africa,RSA,CAF,36,1531,"['M', 'F']"
South Sudan,SSD,CAF,0,192,"['M', 'F']"
Soviet Union,URS,FIFA,0,109,['M']
Spain,ESP,UEFA,372,10206,"['M', 'F']"
Sri Lanka,SRI,AFC,0,142,"['M', 'F']"
St. Kitts and Nevis,SKN,CONCACAF,0,210,"['M', 'F']"
St. Lucia,LCA,CONCACAF,0,149,"['M', 'F']"
St. Vincent and the Grenadines,VIN,CONCACAF,0,187,['M']
Sudan,SDN,CAF,0,141,"['M', 'F']"
Suriname,SUR,CONCACAF,0,214,"['M', 'F']"
Sweden,SWE,UEFA,81,4156,"['M', 'F']"
Switzerland,SUI,UEFA,34,1807,"['M', 'F']"
Syria,SYR,AFC,0,296,"['M', 'F']"
Tahiti,TAH,OFC,0,165,"['M', 'F']"
Tajikistan,TJK,AFC,0,215,"['M', 'F']"
Tanzania,TAN,CAF,0,232,"['M', 'F']"
Thailand,THA,AFC,0,336,"['M', 'F']"
Timor-Leste,TLS,AFC,0,133,"['M', 'F']"
Togo,TOG,CAF,0,265,"['M', 'F']"
Tonga,TGA,OFC,0,96,"['M', 'F']"
Trinidad and Tobago,TRI,CONCACAF,0,350,"['M', 'F']"
Tunisia,TUN,CAF,1,445,"['M', 'F']"
Türkiye,TUR,UEFA,56,2085,"['M', 'F']"
Turkmenistan,TKM,AFC,0,147,"['M', 'F']"
Turks and Caicos Islands,TCA,CONCACAF,0,100,['M']
Uganda,UGA,CAF,0,238,"['M', 'F']"
Ukraine,UKR,UEFA,48,2366,"['M', 'F']"
United Arab Emirates,UAE,AFC,2,335,"['M', 'F']"
United States,USA,CONCACAF,289,7107,"['M', 'F']"
Uruguay,URU,CONMEBOL,29,2357,['M']
US Virgin Islands,VIR,CONCACAF,0,124,"['M', 'F']"
Uzbekistan,UZB,AFC,0,315,"['M', 'F']"
Vanuatu,VAN,OFC,0,117,"['M', 'F']"
Venezuela,VEN,CONMEBOL,32,1978,"['M', 'F']"
Vietnam,VIE,AFC,0,295,"['M', 'F']"
Wales,WAL,UEFA,23,854,"['M', 'F']"
Yemen,YEM,AFC,0,183,['M']
Yugoslavia,YUG,FIFA,0,182,['M']
Zambia,ZAM,CAF,0,296,"['M', 'F']"
Zanzibar,ZAN,CAF,0,2,
Zimbabwe,ZIM,CAF,0,273,"['M', 'F']"
